Gomez Palacio (Las Rosas),Fedex,Blvrd Miguel Alemán Núm. 108-3,Blvd. Miguel Aleman Esq.Calle Mina,Col. Las Rosas,Gomez Palacio,Durango,35090,09:00,19:00,,,09:00,14:00,,,,8717376700,,,,25.5538015,-103.4931801,Fedex,TRCD
Guanajuato,Fedex,Jejayote Núm. 17-A,Dentro del Hotel Real de Minas,Col. Centro,Guanajuato,Guanajuato,36000,09:30,20:00,,,09:00,14:00,,,,4737342348,,,,21.0161198,-101.2667504,Fedex,BJXO
Silao,Fedex,Monseñor Antonio Funes Núm 3,a un costado de la caja de ahorros,Centro,Silao,Guanajuato,36100,09:30,19:00,,,10:00,14:00,,,,4727223144,,,,20.9438235,-101.425946,Fedex,BJXX
San Francisco del Rincón,Fedex,Blvrd Juventino Rosas Núm. 214-3,En Plaza Colonial,Col. Centro,San Francisco Del Rincón,Guanajuato,36310,09:30,15:00,,,10:00,14:00,,,,4767445619,,,,21.0304261,-101.8624034,Fedex,BJXF
Irapuato Solidaridad,Fedex,Plaza Solidaridad Núm. 12100,Entre Malpaso y Mocusari,CFE,Irapuato,Guanajuato,36631,09:00,19:00,,,09:00,14:00,,,,4626240356,,,,20.6975765,-101.3436336,Fedex,BJXCA
Irapuato,Fedex,Boulevard Diaz Ordaz Núm. 1250-A,Victoria y Halondiga,Col.Independendencia,Irapuato,Guanajuato,36666,09:00,18:00,,,09:00,13:00,,,,4626255535,,,,20.6848459,-101.3486985,Fedex,SFHCI
Ipo las Misiones,Fedex,Blvd Lázatro Cardenas Núm.1191-2,Jose Maria Chico y Juan de Urbina,Prol. la Moderna,Irapuato,Guanajuato,36690,10:00,18:00,,,09:00,14:00,,,,4626603124,,,,20.6785817,-101.3646498,Fedex,BJXG
Salamanca,Fedex,Av. Faja De Oro Núm. 106-B,Tomasa Esteves y Zaragoza,Col. Centro,Salamanca,Guanajuato,36700,09:30,15:00,,,09:30,14:00,,,,4646416512,,,,20.576733,-101.1959769,Fedex,BJXS
Centro,Fedex,5 De Febrero Núm. 501,Esquina Manuel Doblado,Col. Centro,León de los Aldama,Guanajuato,37000,09:00,19:00,,,10:00,13:30,,,,4777133526,,,,21.1197332,-101.677796,Fedex,SFHCC
Boulevard Hidalgo,Fedex,Blvd. Miguel Hidalgo Núm. 913; L-5,Entre Florida y Montes de Oca,Col. Los Reyes,León de los Aldama,Guanajuato,37148,10:00,19:00,,,09:00,14:00,,,,4777796158,,,,21.1501814,-101.6707048,Fedex,SFHCM
